perm_seed,model_seed,margin_bps,paired_t,trades
,0,1.630288,2.215129,66256
2,0,0.978077,1.543664,66256
1,0,1.292048,2.096428,66256
3,0,1.001098,1.507116,66256
4,0,0.247151,0.392725,66256
5,0,0.334968,0.530572,66256
7,0,0.341592,0.515065,66256
6,0,0.626585,0.979634,66256
8,0,-0.766489,-1.178241,66256
9,0,2.199996,3.523248,66256
10,0,0.568084,0.837470,66256
11,0,0.693637,1.050367,66256
12,0,-1.452579,-2.319598,66256
15,0,0.247518,0.385747,66256
13,0,-1.897095,-2.939121,66256
14,0,0.059568,0.098980,66256
16,0,0.071370,0.117926,66256
17,0,0.218422,0.361202,66256
18,0,-0.597373,-0.835762,66256
19,0,0.706368,1.094891,66256
20,0,0.151563,0.235740,66256
21,0,-0.005682,-0.009046,66256
22,0,0.117383,0.179976,66256
23,0,0.465798,0.808856,66256
24,0,-0.268612,-0.416014,66256
25,0,1.177652,1.981329,66256
26,0,0.513863,0.835006,66256
27,0,0.509006,0.765869,66256
28,0,0.848499,1.367332,66256
29,0,-0.138919,-0.229175,66256
30,0,1.033510,1.544820,66256
31,0,1.469297,2.371748,66256
33,0,-0.779013,-1.216506,66256
32,0,1.534661,2.448076,66256
34,0,-0.057327,-0.094470,66256
35,0,0.511809,0.741189,66256
36,0,0.610171,0.959086,66256
37,0,0.367562,0.574978,66256
38,0,1.887453,2.954176,66256
39,0,0.494050,0.833397,66256
41,0,1.377522,2.183614,66256
40,0,0.432729,0.698365,66256
42,0,0.362859,0.553234,66256
44,0,1.317420,2.209885,66256
43,0,0.961416,1.458271,66256
45,0,0.377011,0.650629,66256
46,0,0.234070,0.382701,66256
48,0,-0.090979,-0.192578,66256
47,0,0.533803,0.867438,66256
49,0,1.010974,1.572059,66256
51,0,2.767139,4.569802,66256
50,0,-0.358955,-0.548439,66256
53,0,-1.068131,-1.733984,66256
52,0,1.707603,2.670339,66256
54,0,0.543961,0.860727,66256
55,0,1.798355,2.824162,66256
56,0,0.854207,1.496190,66256
57,0,1.210430,1.856601,66256
58,0,-0.447688,-0.661813,66256
59,0,1.753152,2.830108,66256
61,0,-0.066102,-0.105501,66256
60,0,1.158746,1.760214,66256
63,0,-1.127241,-1.721852,66256
62,0,0.136659,0.230180,66256
65,0,-0.093825,-0.146151,66256
64,0,-0.376473,-0.580753,66256
66,0,1.444778,2.191560,66256
67,0,-0.617740,-1.048542,66256
69,0,0.234744,0.380426,66256
68,0,-1.302126,-2.069862,66256
70,0,-0.132145,-0.219164,66256
71,0,0.185036,0.304429,66256
72,0,0.623845,0.919926,66256
73,0,0.533375,0.835520,66256
74,0,0.066843,0.103418,66256
75,0,1.150812,1.868067,66256
76,0,0.661224,1.157797,66256
77,0,-1.059745,-1.643194,66256
78,0,0.722659,1.160224,66256
79,0,0.200256,0.300850,66256
80,0,-0.072416,-0.111876,66256
81,0,-0.423248,-0.635655,66256
82,0,0.175728,0.280255,66256
83,0,-0.190558,-0.305481,66256
84,0,0.131658,0.197118,66256
85,0,1.138975,1.767821,66256
86,0,1.587728,2.675826,66256
87,0,-0.680597,-1.133080,66256
88,0,1.029189,1.652457,66256
89,0,-0.028690,-0.045319,66256
90,0,-0.918547,-1.436987,66256
92,0,-0.607327,-0.959144,66256
91,0,-0.486181,-0.782927,66256
93,0,0.996119,1.569161,66256
94,0,-0.701476,-1.038230,66256
96,0,-0.380366,-0.643472,66256
95,0,-0.469674,-0.722053,66256
97,0,-0.027655,-0.045344,66256
98,0,0.602813,0.958325,66256
100,0,-0.481820,-0.751648,66256
99,0,-0.221464,-0.348027,66256
