perm_seed,model_seed,margin_bps,paired_t,trades
,0,1.246821,1.578467,45647
3,0,1.154819,1.671724,45647
2,0,1.637255,2.375460,45647
4,0,1.731846,2.823646,45647
1,0,-0.624629,-0.849016,45647
6,0,0.420930,0.629450,45647
5,0,-0.896302,-1.279158,45647
7,0,-0.610879,-0.986441,45647
8,0,-0.472911,-0.715983,45647
10,0,-1.060606,-1.511158,45647
9,0,-1.035727,-1.562459,45647
11,0,2.074153,3.060175,45647
12,0,0.758438,1.336150,45647
13,0,-0.168278,-0.280949,45647
14,0,1.021682,1.539058,45647
15,0,1.062033,1.469466,45647
16,0,-0.083231,-0.121950,45647
17,0,-1.663297,-2.291385,45647
19,0,-0.078139,-0.122160,45647
18,0,-0.313200,-0.444544,45647
20,0,0.592628,0.866450,45647
21,0,1.286697,1.826805,45647
22,0,-1.996759,-2.703124,45647
