arm,perm_seed,excess_bps,best_k,moved_share,horizon,universe
price,,21.526496,10,,21,etf_wide
price,2,11.180535,10,0.9693,21,etf_wide
price,3,-7.573544,10,0.9690,21,etf_wide
price,4,-2.566657,10,0.9695,21,etf_wide
price,1,-6.903012,3,0.9700,21,etf_wide
price,6,13.390440,3,0.9694,21,etf_wide
price,5,-8.786041,10,0.9700,21,etf_wide
price,7,8.596491,10,0.9690,21,etf_wide
price,8,11.425230,10,0.9695,21,etf_wide
price,10,25.826856,5,0.9696,21,etf_wide
price,9,31.423657,3,0.9694,21,etf_wide
price,12,7.619716,10,0.9693,21,etf_wide
price,11,-0.309198,10,0.9699,21,etf_wide
price,13,-3.671365,10,0.9697,21,etf_wide
price,14,-5.271317,3,0.9699,21,etf_wide
price,15,8.614922,10,0.9700,21,etf_wide
price,16,3.722488,5,0.9700,21,etf_wide
price,17,21.490837,5,0.9695,21,etf_wide
price,19,13.404020,10,0.9697,21,etf_wide
price,18,31.915135,3,0.9692,21,etf_wide
price,20,24.130534,3,0.9697,21,etf_wide
price,21,2.941258,10,0.9694,21,etf_wide
price,22,5.113608,3,0.9699,21,etf_wide
price,23,12.032252,10,0.9698,21,etf_wide
price,24,1.041313,5,0.9695,21,etf_wide
price,25,0.648518,5,0.9703,21,etf_wide
price,26,15.378820,3,0.9696,21,etf_wide
price,27,1.505488,3,0.9695,21,etf_wide
price,28,33.309950,3,0.9693,21,etf_wide
price,29,8.903662,10,0.9694,21,etf_wide
price,30,18.093269,5,0.9703,21,etf_wide
price,31,10.138361,10,0.9697,21,etf_wide
price,32,19.000742,3,0.9693,21,etf_wide
price,33,3.108843,5,0.9685,21,etf_wide
price,34,-2.049995,10,0.9693,21,etf_wide
price,35,15.425109,5,0.9696,21,etf_wide
price,36,29.894701,5,0.9690,21,etf_wide
price,37,12.471359,3,0.9697,21,etf_wide
price,38,9.838000,5,0.9697,21,etf_wide
price,39,-0.893440,5,0.9700,21,etf_wide
price,40,2.408849,5,0.9695,21,etf_wide
price,41,-2.656240,10,0.9700,21,etf_wide
price,42,25.886134,3,0.9695,21,etf_wide
price,43,-4.110113,10,0.9694,21,etf_wide
price,44,10.357596,10,0.9697,21,etf_wide
price,46,7.204339,10,0.9694,21,etf_wide
price,45,-0.849370,3,0.9692,21,etf_wide
price,47,3.697317,10,0.9701,21,etf_wide
price,48,1.435781,10,0.9701,21,etf_wide
price,49,10.573182,5,0.9703,21,etf_wide
price,50,13.174517,10,0.9696,21,etf_wide
price,51,15.391226,10,0.9693,21,etf_wide
price,52,14.317439,10,0.9697,21,etf_wide
price,53,8.834546,3,0.9693,21,etf_wide
price,54,11.985399,3,0.9703,21,etf_wide
price,55,13.974982,10,0.9705,21,etf_wide
price,56,9.093502,5,0.9700,21,etf_wide
price,58,-7.242189,5,0.9704,21,etf_wide
price,57,11.962542,10,0.9697,21,etf_wide
price,59,29.366675,5,0.9699,21,etf_wide
price,60,12.071189,10,0.9699,21,etf_wide
price,61,11.711799,10,0.9691,21,etf_wide
price,62,10.332794,10,0.9700,21,etf_wide
price,63,11.201405,10,0.9697,21,etf_wide
price,64,9.773063,5,0.9686,21,etf_wide
price,65,24.512427,5,0.9693,21,etf_wide
price,66,8.136696,3,0.9697,21,etf_wide
price,67,5.835009,10,0.9698,21,etf_wide
price,68,18.832813,5,0.9695,21,etf_wide
price,69,23.751254,10,0.9693,21,etf_wide
price,70,7.952515,5,0.9695,21,etf_wide
price,71,-2.005537,10,0.9702,21,etf_wide
price,72,9.087926,10,0.9695,21,etf_wide
price,74,5.466373,10,0.9693,21,etf_wide
price,73,16.628943,5,0.9697,21,etf_wide
price,75,8.029495,10,0.9686,21,etf_wide
price,76,26.859310,3,0.9692,21,etf_wide
price,78,34.673386,3,0.9698,21,etf_wide
price,77,5.142771,10,0.9694,21,etf_wide
price,79,9.117219,3,0.9702,21,etf_wide
price,80,-0.299248,10,0.9696,21,etf_wide
price,82,-0.974736,5,0.9698,21,etf_wide
price,81,-9.292272,10,0.9692,21,etf_wide
price,83,19.032496,10,0.9695,21,etf_wide
price,84,-2.025583,10,0.9696,21,etf_wide
price,85,5.418360,10,0.9697,21,etf_wide
price,86,25.103498,10,0.9698,21,etf_wide
price,87,3.046519,10,0.9698,21,etf_wide
price,88,0.550322,3,0.9699,21,etf_wide
price,89,15.821158,5,0.9695,21,etf_wide
price,90,10.008647,5,0.9690,21,etf_wide
price,91,6.433313,5,0.9692,21,etf_wide
price,92,-26.172104,5,0.9699,21,etf_wide
price,93,38.542356,3,0.9703,21,etf_wide
price,94,-1.694838,10,0.9696,21,etf_wide
